,Terminology
0,Slight Speedup
1,Description Characters
2,Ideographic Description
3,Scientific Paper Excerpt
4,Scientific Paper
5,Paper Excerpt
6,Environmental Declaration
7,Young Scientists
8,documentary team
9,interrogative pronoun
10,David Inman Olga
11,Mayan Guatemala
12,Guinea Indonesia
13,Maipurean Peru
14,David Inman
15,Inman Olga
16,Kristen Howell
17,Royal Society London
18,Hidden Gates
19,Tianjin University
20,Royal Society
21,Society London
22,rulebased hyphenation
23,Barack Obama
24,Sonnensystem Sonne
25,Rendszer Hungarian
26,dumme Situation
27,Computational Linguistics
28,Philadelphia July
29,generally10 modelindependent
30,unconditional surrender
31,Likelihood Estimation
32,collocazione giusta
33,flower remedies
34,Keywords multiword
35,detokenized casesensitive
36,Zingarelli Cannella
37,Zanichelli editore
38,Alexandra Birch
39,chinese electronics
40,Prime Ministers Office
41,Loss Functions
42,Innovation Center
43,Prime Ministers
44,Ministers Office
45,Funding Initiative
46,Negative Sampling
47,TensorFlow Abadi
48,OpenNMT Klein
49,Quick Thought Logeswaran
50,Distance Kusner
51,bleu2vec Tattar
52,Quick Thought
53,Thought Logeswaran
54,POS0 POS1
55,PRESTO JPMJPR1856
56,Sorbonne Universites UPMC
57,Universites UPMC Univ
58,Sorbonne Universites
59,Universites UPMC
60,UPMC Univ
61,Latent Representations
62,Kingdom British
63,Katerina Margatina Giorgos
64,Margatina Giorgos Vernikos
65,Ethical Considerations
66,Katerina Margatina
67,Margatina Giorgos
68,Giorgos Vernikos
69,Viktor Hangya
70,vietnam airlines
71,laptop computers
72,guangdong province
73,President Bush
74,Syntactic Categories
75,Balancer Weight
76,head1 headh
77,Fairseq Hyperparameters
78,Desmond Elliott
79,NICT Japan
80,noteworthy disadvantage
81,YouTube Comments
82,Share Blog
83,Regularization Techniques
84,inter alia
85,Hong Kong Special
86,Kong Special Administrative
87,Special Administrative Region
88,Hong Kong
89,Kong Special
90,Special Administrative
91,Administrative Region
92,IVF1024 HNSW32
93,barg vuooelhusas
94,maiddi oaidnn
95,suerkiej sistie
96,dvgebissuin bhin
97,tutustutaan muun
98,bargobjiid igge
99,orthographic conventions
100,Saemiedgkan dorjeme
101,Constraint Grammar
102,tjrrehtamme Saemiedigkien
103,aahan Smedikki
104,Erika Sarivaara
105,Oriol Vinyals Richard
106,Vinyals Richard Socher
107,Panupong Pasupat Kelvin
108,nationale Wirtschaft
109,Projekt Europa
110,Russell Stewart
111,Oriol Vinyals
112,Vinyals Richard
113,Richard Socher
114,Kayser Jiwei
115,Panupong Pasupat
116,Pasupat Kelvin
117,plastics labs
118,Plastic laboratories
119,Adagrad Duchi
120,allen Werten
121,ECfunded H2020
122,languagegrouped batching
123,economic strength
124,M2k0 kM1k0
125,Samuelson 1937
126,Meaning Ideographs
127,Strokes Ideographs
128,history warnings
129,recorded material
130,Inman Olga Zamaraeva
131,Olga Zamaraeva Kristen
132,Zamaraeva Kristen Howell
133,Online Database
134,Kiranti Nepal
135,Emily Bender
136,Goodman Ryan
137,Olga Zamaraeva
138,Zamaraeva Kristen
139,Split Concat
140,Federal Ministry
141,sewage water
142,parliamentary proceedings
143,Electronics Polska
144,Adadelta Zeiler
145,Maja Popovic
146,activity guidebook
147,comprehensive catalog
