,Terminology
0,choice
1,vocabulary
2,performance
3,machine
4,translation
5,paper
6,trial
7,questions
8,role
9,perspective
10,information
11,theory
12,quest
13,vocabularization
14,size
15,transport
16,problem
17,solution
18,vocabularies
19,scenarios
20,directions
21,example
22,reduction
23,time
24,hours
25,Codes
26,https
27,discreteness
28,text
29,construction
30,prerequisite
31,language
32,tasks
33,networks
34,community
35,practice
36,internship
37,idea
38,pieces
39,tokens
40,forms
41,compression
42,effects
43,criteria
44,studies
45,Salesky
46,performances
47,sizes
48,computation
49,convenience
50,implementation
51,papers
52,reasons
53,side
54,sparsity
55,measurement
56,illustration
57,utility
58,lines
59,cost
60,optimization
61,space
62,problems
63,insight
64,contradiction
65,concept
66,economics
67,optimality
68,derivative
69,goal
70,complexity
71,programming
72,matrix
73,distribution
74,resources
75,constraint
76,Researchers
77,pairs
78,sequences
79,units
80,meanings
81,sentence
82,lengths
83,variants
84,solutions
85,groups
86,number
87,group
88,section
89,explosion
90,ratio
91,derivation
92,simplification
93,length
94,effectiveness
95,experiments
96,correlation
97,attributes
98,correlations
99,signal
100,details
101,choices
102,direction
103,candidate
104,possibilities
105,integers
106,timestep
107,difference
108,denominator
109,equation
110,steps
111,timesteps
112,step
113,compositions
114,composition
115,view
116,chars
117,candidates
118,probability
119,relaxation
120,formulation
121,matrices
122,Notice
123,Approximation
124,rules
125,element
126,subsets
127,proof
128,entry
129,distance
130,mass
131,char
132,validness
133,constraints
134,requirements
135,column
136,probablity
137,Implementation
138,frequencies
139,algorithms
140,initialization
141,case
142,strategy
143,item
144,ones
145,vocab
146,newstest14
147,languagepairs
148,code
149,network
150,pipeline
151,research
152,track
153,authors
154,actions
155,methods
156,Comparison
157,table
158,terms
159,lowresource
160,architectures
161,plenty
162,trials
163,evaluation
164,languages
165,families
166,characters
167,advantage
168,resource
169,consumption
170,method
171,hundreds
172,comparison
173,Reaches
174,baselines
175,block
176,default
177,margin
178,improvements
179,epochs
180,capacity
181,parameters
182,environment
183,beam
184,speedup
185,batch
186,computations
187,GPUs
188,Conclusion
189,trail
190,framework
191,reviewers
192,feedback
193,systems
194,attention
195,mechanisms
196,differences
197,level
198,capabilities
199,architecture
200,records
201,parts
202,translations
203,technique
204,application
205,supervision
206,risk
207,symbols
208,affixes
209,similarities
210,alphabet
211,letters
212,phoneme
213,Words
214,ideographs
215,effect
216,embeddings
217,strokes
218,tokenizer
219,radicals
220,classification
221,equivalents
222,instance
223,encoder
224,decoder
225,gaps
226,unit
227,granularity
228,contributions
229,database
230,subcharacter
231,system
232,phonemes
233,katakana
234,part
235,Romanization
236,mainland
237,diacritics
238,ideograph4
239,mechanism
240,memory
241,nature
242,efficiency
243,cases
244,symbol
245,quality
246,transformer
247,researchers
248,project5
249,combinations
250,term
251,components
252,horse
253,pool
254,water
255,land
256,soil
257,functionality
258,letter
259,amount
260,examples
261,pronunciation
262,respec6
263,knowledge
264,fact
265,homophones
266,subcharacters
267,types7
268,vectors
269,load
270,chances
271,neurons
272,blocks
273,standards
274,Stroke
275,7According
276,charset
277,type
278,variations
279,fallings
280,charset9
281,Decomposition
282,decomposition
283,website10
284,indications
285,order
286,government
287,landscape
288,tags
289,ends
290,duplications
291,cating
292,structures
293,Description
294,Characters
295,indication
296,series
297,granularities
298,sides
299,tones
