,Terminology
0,MWEs
1,phrases
2,phrase
3,retrieval
4,model
5,system
6,transport
7,evaluator
8,gloss
9,decoder
10,perturbations
11,memory
12,precision
13,ideograph
14,grams
15,stroke
16,vocabularies
17,vocabulary
18,character
19,evaluators
20,training
21,glosses
22,rewriter
23,entropy
24,reference
25,languages
26,words
27,output
28,ideographs
29,line
30,source
31,unigram
32,models
33,characters
34,queue
35,translation
36,systems
37,morpheme
38,subword
39,attention
40,units
41,word
42,language
43,dataset
44,segmentation
45,stability
46,evaluation
47,candidate
48,mask
49,encoder
50,computation
51,embeddings
52,label
53,morphemes
54,sentences
55,target
56,representations
57,alignment
58,fusion
59,retriever
60,parameters
61,suggestion
62,stem
63,identification
64,datasets
65,dropout
66,adaptation
67,types
68,sequences
69,approach
70,weights
71,principles
72,parent
73,length
74,similarity
75,tokens
76,labels
77,alignments
78,side
79,process
80,gate
81,Candidate
82,iter
83,relevance
84,baseline
85,network
86,text
87,data
88,parameter
89,annotation
90,gram
91,tables
92,masks
93,generation
94,state
95,sequence
96,hypothesis
97,scores
98,translations
99,matrix
100,token
101,beam
102,Section
103,search
104,dictionary
105,documentation
106,validation
107,input
108,robustness
109,setting
110,example
111,matches
112,discriminator
113,options
114,terms
115,level
116,layer
117,information
118,framework
119,position
120,hours
121,positions
122,operations
123,benchmark
124,tags
125,transformations
126,chunk
127,candidates
128,regularization
129,heads
130,initialization
131,resource
132,sentence
133,algorithm
134,pairs
135,points
136,capacity
137,lemma
138,gates
139,correction
140,order
141,performance
142,corpora
143,mechanism
144,test
145,group
146,vector
147,corpus
148,networks
149,phrasal
150,index
151,oracle
152,analysis
153,instances
154,symbols
155,suggestions
156,recall
157,development
158,chars
159,strokes
160,parallelization
161,balancer
162,location
163,interference
164,states
165,loss
166,representation
167,syntax
168,correlation
169,transfer
170,list
171,time
172,layers
173,context
174,architecture
175,metric
176,encoding
177,dependency
178,ensemble
179,recommendations
180,accuracy
181,learning
182,performances
183,annotations
184,study
185,char
186,brevity
187,articles
188,mapping
189,objective
190,domain
191,methods
192,techniques
193,case
194,table
195,Example
196,experiments
197,frequency
198,functions
199,amounts
200,step
201,constraints
202,Equation
203,distance
204,BERT
205,priority
206,unsupervised
207,image
208,pruning
209,tasks
210,probability
211,gains
212,stems
213,OOVs
214,penalty
215,translators
216,transliteration
217,predictions
218,judgments
219,approaches
220,expressions
221,knowledge
222,problem
223,rules
224,form
225,results
226,studies
227,difference
228,instance
229,solution
230,references
231,term
232,iterations
233,lists
234,names
235,modeling
236,vocabularization
237,writing
238,segmentations
239,judges
240,precisions
241,passes
242,termination
243,LaSS
244,scenarios
245,unit
246,choice
247,annotators
248,baselines
249,cases
250,weight
251,items
252,version
253,directions
254,pair
255,steps
256,symbol
257,window
258,size
259,score
260,strategy
261,solutions
262,family
263,distribution
264,features
265,times
266,cost
267,space
268,amount
269,components
270,Reference
271,bigram
272,extraction
273,coverage
274,details
275,base
276,Table
277,vectors
278,technique
279,shortlist
280,guide
281,architectures
282,INTENT
283,ASTfeature
284,memories
285,quality
286,blocks
287,translator
288,verb
289,sizes
290,prediction
291,effect
292,feature
293,effects
294,increase
295,sets
296,number
297,examples
298,forms
299,metrics
